seq,delay_seconds
1,0.00056
2,0.00012
3,0.00013
4,0.00009
5,0.00038
6,0.00012
7,0.00017
8,0.00031
9,0.00016
10,0.00015
11,0.00016
12,0.00018
13,0.00014
14,0.00019
15,0.00009
16,0.00010
17,0.00008
18,0.00008
19,0.00007
20,0.00009
21,0.00009
22,0.00014
23,0.00010
24,0.00026
25,0.00015
26,0.00014
27,0.00016
28,0.00016
29,0.00016
30,0.00026
31,0.00015
32,0.00015
33,0.00028
34,0.00055
35,0.00023
36,0.00014
37,0.00019
38,0.00014
39,0.00018
40,0.00024
41,0.00016
42,0.00021
43,0.00050
44,0.00018
45,0.00020
46,0.00021
47,0.00021
48,0.00030
49,0.00025
50,0.00017
51,0.00039
52,0.00020
53,0.00016
54,0.00031
55,0.00019
56,0.00019
57,0.00020
